footballer_id,footballer_name,league_id,league_name,league_logo_path,team_id,club,img_path,birthday,nationality_img_path,footballer_img_path,created_at,timestamp,running_distance,average_speed,heart_rate,zones_x,training_intensity,session
536,Kacper Tobiasz,pl1,PKO BP Ekstraklasa,https://tmssl.akamaized.net//images/logo/header/pl1.png?lm=1601990839,20,Legia Warszawa,https://tmssl.akamaized.net//images/wappen/tiny/255.png?lm=1463410132,"Nov 4, 2002",https://tmssl.akamaized.net//images/flagge/verysmall/135.png?lm=1520611569,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",2022-10-13 13:48:50.175683,2024-11-30 13:48:50,14.726898780005389,11.829644186886872,150.26035729406402,3,2.866588460462229,77
537,Gabriel Kobylak,pl1,PKO BP Ekstraklasa,https://tmssl.akamaized.net//images/logo/header/pl1.png?lm=1601990839,20,Legia Warszawa,https://tmssl.akamaized.net//images/wappen/tiny/255.png?lm=1463410132,"Feb 20, 2002",https://tmssl.akamaized.net//images/flagge/verysmall/135.png?lm=1520611569,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",2023-03-30 13:48:50.175683,2024-11-30 13:48:50,13.361317602124,11.373908503732993,84.78992906823157,2,9.335311725435272,51
538,Marcel Mendes-Dudzinski,pl1,PKO BP Ekstraklasa,https://tmssl.akamaized.net//images/logo/header/pl1.png?lm=1601990839,20,Legia Warszawa,https://tmssl.akamaized.net//images/wappen/tiny/255.png?lm=1463410132,"May 14, 2005",https://tmssl.akamaized.net//images/flagge/verysmall/135.png?lm=1520611569,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",2024-05-07 13:48:50.175683,2024-11-30 13:48:50,6.876523015423229,13.813248894649517,138.47310588531258,1,2.9411768251888364,17
539,Jan Ziolkowski,pl1,PKO BP Ekstraklasa,https://tmssl.akamaized.net//images/logo/header/pl1.png?lm=1601990839,20,Legia Warszawa,https://tmssl.akamaized.net//images/wappen/tiny/255.png?lm=1463410132,"Jun 5, 2005",https://tmssl.akamaized.net//images/flagge/verysmall/135.png?lm=1520611569,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",2023-06-29 13:48:50.175683,2024-11-30 13:48:50,8.565367168331074,10.860163774782965,197.385960759382,1,3.3007782637789758,32
540,Sergio Barcia,pl1,PKO BP Ekstraklasa,https://tmssl.akamaized.net//images/logo/header/pl1.png?lm=1601990839,20,Legia Warszawa,https://tmssl.akamaized.net//images/wappen/tiny/255.png?lm=1463410132,"Dec 31, 2000",https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",2023-08-20 13:48:50.175683,2024-11-30 13:48:50,7.980937548093589,12.786013587005565,132.56411612835313,2,3.673182059297347,26
541,Radovan Pankov,pl1,PKO BP Ekstraklasa,https://tmssl.akamaized.net//images/logo/header/pl1.png?lm=1601990839,20,Legia Warszawa,https://tmssl.akamaized.net//images/wappen/tiny/255.png?lm=1463410132,"Aug 5, 1995",https://tmssl.akamaized.net//images/flagge/verysmall/215.png?lm=1520611569,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",2022-07-02 13:48:50.175683,2024-11-30 13:48:50,4.789148144057207,7.487071559664678,189.86936188662062,3,7.916842873102744,22
542,Marco Burch,pl1,PKO BP Ekstraklasa,https://tmssl.akamaized.net//images/logo/header/pl1.png?lm=1601990839,20,Legia Warszawa,https://tmssl.akamaized.net//images/wappen/tiny/255.png?lm=1463410132,"Oct 19, 2000",https://tmssl.akamaized.net//images/flagge/verysmall/148.png?lm=1520611569,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",2023-09-14 13:48:50.175683,2024-11-30 13:48:50,14.493831885759109,11.78182584589068,117.0268888704565,3,4.848458386978268,13
543,Steve Kapuadi,pl1,PKO BP Ekstraklasa,https://tmssl.akamaized.net//images/logo/header/pl1.png?lm=1601990839,20,Legia Warszawa,https://tmssl.akamaized.net//images/wappen/tiny/255.png?lm=1463410132,"Apr 30, 1998",https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",2022-05-28 13:48:50.175683,2024-11-30 13:48:50,7.8517491746371055,14.021941183826756,199.83827580584835,1,8.374011616275567,12
544,Jan Leszczynski,pl1,PKO BP Ekstraklasa,https://tmssl.akamaized.net//images/logo/header/pl1.png?lm=1601990839,20,Legia Warszawa,https://tmssl.akamaized.net//images/wappen/tiny/255.png?lm=1463410132,"Apr 12, 2007",https://tmssl.akamaized.net//images/flagge/verysmall/135.png?lm=1520611569,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",2024-01-14 13:48:50.175683,2024-11-30 13:48:50,13.503948991654896,8.857323278998333,141.0908049318581,2,8.063683411202096,71
545,Artur Jedrzejczyk,pl1,PKO BP Ekstraklasa,https://tmssl.akamaized.net//images/logo/header/pl1.png?lm=1601990839,20,Legia Warszawa,https://tmssl.akamaized.net//images/wappen/tiny/255.png?lm=1463410132,"Nov 4, 1987",https://tmssl.akamaized.net//images/flagge/verysmall/135.png?lm=1520611569,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",2024-08-29 13:48:50.175683,2024-11-30 13:48:50,5.272274732167981,12.791041873386465,65.91765919303084,3,9.365413804907199,1
